DATAFLOW,LAST UPDATE,freq,unit,isced11,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,ES,2017,3780.8,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,ES,2018,4000.8,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,ES,2019,4211.2,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,ES,2020,4468.2,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,EU27_2020,2017,5818.5,d
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,EU27_2020,2018,6082.9,d
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,EU27_2020,2019,6394.3,d
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,EU27_2020,2020,6739.3,d
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,EU28,2017,5540.8,d
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,EU28,2018,5715.7,d
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,EU28,2019,6006.7,d
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,FI,2012,9464.2,d
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,FI,2013,9872.4,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,FI,2014,9897.0,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,FI,2015,10026.3,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,FI,2016,10337.6,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,FI,2017,10227.3,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,FI,2018,11077.5,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,FI,2019,11994.0,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,FI,2020,12355.9,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,FR,2012,5309.7,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,FR,2013,5750.4,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,FR,2014,5840.8,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,FR,2015,5942.3,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,FR,2016,6060.3,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,FR,2017,6372.5,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,FR,2018,6465.7,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,FR,2019,6587.9,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,FR,2020,6688.1,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,HR,2016,1940.9,d
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,HR,2017,2092.8,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,HR,2018,2252.3,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,HR,2019,2431.6,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,HR,2020,2478.2,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,HU,2014,2674.5,
